# UV350AG,,,
# ,6 DEG,30 DEG,45 DEG
2500,97.794735,98.367685,98.388179
2499,97.81689,98.424089,98.360082
2498,97.881967,98.390925,98.389613
2497,97.85648,98.388507,98.400777
2496,97.852742,98.340425,98.359574
2495,97.945892,98.361656,98.315498
2494,97.980412,98.323253,98.277599
2493,97.967699,98.33466,98.389092
2492,97.923709,98.266266,98.368752
2491,97.938575,98.29257,98.331493
2490,97.992188,98.325786,98.369112
2489,97.987515,98.368182,98.338199
2488,97.98862,98.348324,98.368075
2487,97.964323,98.361702,98.368158
2486,97.988753,98.354178,98.423609
2485,98.125686,98.342387,98.385341
2484,98.033617,98.43426,98.304086
2483,97.992752,98.430195,98.351821
2482,98.025633,98.375821,98.319674
2481,98.083858,98.389615,98.320915
2480,98.178223,98.365662,98.378979
2479,98.093699,98.326027,98.359321
2478,97.999769,98.348924,98.33938
2477,98.087522,98.326967,98.31078
2476,98.153603,98.347841,98.346753
2475,98.173701,98.364625,98.270189
2474,98.047876,98.37894,98.328948
2473,97.952999,98.331107,98.368508
2472,98.005049,98.316228,98.376188
2471,98.1569,98.384473,98.337345
2470,98.135488,98.410692,98.404045
2469,98.146187,98.403549,98.373887
2468,98.042379,98.422924,98.39243
2467,97.922196,98.38505,98.402932
2466,97.876973,98.369393,98.337651
2465,97.838162,98.380545,98.362932
2464,97.864178,98.385447,98.384976
2463,97.778577,98.342293,98.349042
2462,97.810117,98.342105,98.378429
2461,97.897554,98.328153,98.345586
2460,97.8555,98.354403,98.318934
2459,97.940435,98.39475,98.352675
2458,97.897956,98.384904,98.368163
2457,97.813974,98.40467,98.347056
2456,97.808796,98.4039,98.356576
2455,97.884834,98.390017,98.379528
2454,97.853275,98.373816,98.360042
2453,97.781913,98.331626,98.390663
2452,97.742131,98.360121,98.367605
2451,97.764197,98.365915,98.349322
2450,97.755938,98.346881,98.36184
2449,97.752055,98.369292,98.329024
2448,97.758884,98.396218,98.357708
2447,97.719836,98.388322,98.371936
2446,97.680422,98.384469,98.338574
2445,97.746742,98.369793,98.334551
2444,97.860999,98.351078,98.366955
2443,97.852704,98.395997,98.376915
2442,97.816233,98.37656,98.378001
2441,97.813019,98.409899,98.35296
2440,97.820245,98.412175,98.371444
2439,97.888054,98.426234,98.343829
2438,97.824686,98.441114,98.375198
2437,97.810911,98.367687,98.347846
2436,97.764884,98.367883,98.339144
2435,97.787049,98.400507,98.357865
2434,97.880992,98.359902,98.354469
2433,97.800021,98.371859,98.35617
2432,97.762259,98.386953,98.37753
2431,97.861361,98.380643,98.35683
2430,98.026636,98.399314,98.3648
2429,97.983226,98.335995,98.351316
2428,97.83636,98.379016,98.374251
2427,97.707163,98.404396,98.361578
2426,97.758457,98.399428,98.366405
2425,97.765509,98.400044,98.366234
2424,97.77949,98.391579,98.365585
2423,97.784147,98.392556,98.362563
2422,97.852636,98.405261,98.36064
2421,97.831886,98.408973,98.350626
2420,97.76146,98.429046,98.346678
2419,97.654548,98.391932,98.357922
2418,97.514852,98.387436,98.351203
2417,97.445347,98.356282,98.34716
2416,97.558706,98.315911,98.369173
2415,97.661226,98.371519,98.381153
2414,97.614488,98.410671,98.402233
2413,97.617379,98.405816,98.384297
2412,97.625357,98.404455,98.353989
2411,97.649945,98.418451,98.355906
2410,97.614929,98.400659,98.383935
2409,97.595422,98.385678,98.388138
2408,97.619201,98.376655,98.381349
2407,97.689856,98.39922,98.38132
2406,97.758403,98.428035,98.375442
2405,97.735194,98.417854,98.377669
2404,97.720103,98.422475,98.372869
2403,97.767472,98.40738,98.340059
2402,97.813836,98.437096,98.31806
2401,97.807106,98.441346,98.316178
2400,97.846596,98.432697,98.357707
2399,97.873348,98.396293,98.402827
2398,97.846408,98.373938,98.383217
2397,97.842226,98.355041,98.361695
2396,97.914878,98.382729,98.369058
2395,97.883801,98.422241,98.388196
2394,97.821273,98.436219,98.366334
2393,97.835598,98.44705,98.366271
2392,97.746306,98.45018,98.37773
2391,97.681747,98.392277,98.317251
2390,97.694429,98.388924,98.323078
2389,97.745762,98.403653,98.335
2388,97.698768,98.384826,98.343544
2387,97.774796,98.371657,98.367059
2386,97.877549,98.34477,98.369075
2385,97.842786,98.336971,98.348901
2384,97.835118,98.36094,98.360778
2383,97.829944,98.408657,98.372163
2382,97.773422,98.421008,98.357296
2381,97.783284,98.408928,98.348548
2380,97.843929,98.386438,98.317054
2379,97.867202,98.386042,98.313934
2378,97.859637,98.363971,98.32612
2377,97.931184,98.349638,98.309481
2376,98.038277,98.336175,98.344193
2375,97.958958,98.347867,98.345338
2374,97.827891,98.383404,98.339137
2373,97.800539,98.383765,98.348898
2372,97.780758,98.377009,98.350449
2371,97.776031,98.406166,98.333148
2370,97.766835,98.398029,98.323987
2369,97.704829,98.407198,98.332693
2368,97.699547,98.422377,98.335215
2367,97.76512,98.417005,98.320254
2366,97.74686,98.39107,98.321203
2365,97.695211,98.365698,98.335481
2364,97.640832,98.37922,98.358387
2363,97.705836,98.37564,98.377135
2362,97.769779,98.411616,98.347325
2361,97.701145,98.420859,98.356919
2360,97.719477,98.417666,98.354952
2359,97.755779,98.421001,98.303476
2358,97.757469,98.408464,98.302225
2357,97.854335,98.391046,98.293689
2356,97.852373,98.367456,98.286499
2355,97.74351,98.363087,98.295837
2354,97.751829,98.365874,98.298482
2353,97.83039,98.36711,98.32623
2352,97.850937,98.389875,98.345852
2351,97.889235,98.392728,98.316229
2350,97.904818,98.382816,98.303925
2349,97.869368,98.371741,98.283253
2348,97.833705,98.374489,98.273424
2347,97.794783,98.379587,98.300927
2346,97.784562,98.384537,98.287349
2345,97.76345,98.399608,98.27426
2344,97.773237,98.389715,98.288399
2343,97.80274,98.363281,98.288529
2342,97.798645,98.3713,98.291609
2341,97.810917,98.396607,98.300666
2340,97.806567,98.394026,98.295672
2339,97.762372,98.360523,98.283884
2338,97.770375,98.35762,98.258226
2337,97.850519,98.385576,98.250988
